article_link	headline	is_sarcastic
https://www.huffingtonpost.com/entry/versace-black...	former versace store clerk sues over secret 'black…	0
https://www.huffingtonpost.com/entry/roseanne-revi...	the 'roseanne' revival catches up to our thorny po...	0
https://local.theonion.com/mom-starting-to-fear-so...	mom starting to fear son's web series closest thin...	1
https://politics.theonion.com/boehner-just-wants-w...	boehner just wants wife to listen, not come up wit...	1
https://www.huffingtonpost.com/entry/jk-rowling-wi...	j.k. rowling wishes snape happy birthday in the mo...	0
https://www.huffingtonpost.com/entry/advancing-the...	advancing the world's women	0
https://www.huffingtonpost.com/entry/how-meat-is-g...	the fascinating case for eating lab-grown meat	0
https://www.huffingtonpost.com/entry/boxed-college...	this ceo will send your kids to school, if you wor...	0
https://politics.theonion.com/top-snake-handler-le...	top snake handler leaves sinking huckabee campaign	1
https://www.huffingtonpost.com/entry/fridays-morni...	friday's morning email: inside trump's presser for...	0
https://www.huffingtonpost.com/entry/airline-passe...	airline passengers tackle man who rushes cockpit i...	0
https://www.huffingtonpost.com/entry/facebook-heal...	facebook reportedly working on healthcare features...	0
https://www.huffingtonpost.comhttp://www.theguardi...	north korea praises trump and urges us voters to r...	0
https://www.huffingtonpost.com/entry/jeffrey-lord-...	actually, cnn's jeffrey lord has been 'indefensibl...	0
https://www.huffingtonpost.com/entry/barcelona-ref...	barcelona holds huge protest in support of refugee...	0
https://entertainment.theonion.com/nuclear-bomb-de...	nuclear bomb detonates during rehearsal for 'spide...	1
https://www.theonion.com/cosby-lawyer-asks-why-acc...	cosby lawyer asks why accusers didn't come forward...	1
https://www.theonion.com/stock-analysts-confused-f...	stock analysts confused, frightened by boar market	1
https://www.huffingtonpost.com/entry/bloomberg-phi...	bloomberg's program to build better cities just go...	0
https://www.huffingtonpost.com/entry/craig-hicks-i...	craig hicks indicted	0
https://local.theonion.com/courtroom-sketch-artist...	courtroom sketch artist has clear manga influences	1
https://politics.theonion.com/trump-assures-nation...	trump assures nation that decision for syrian airs...	1
https://www.huffingtonpost.com/entry/qatar-dutch-w...	qatar deporting dutch woman who reported she was d...	0
https://www.huffingtonpost.comhttp://pubx.co/dnWZe...	this is why you shouldn't go to the circus	0
https://www.huffingtonpost.com/entry/ted-cruz-repu...	ted cruz hits the panic button: 'we could lose bot...	0
https://www.huffingtonpost.com/entry/why-writers-m...	why writers must plan to be surprised	0
https://www.huffingtonpost.com/entry/obama-veteran...	obama visits arlington national cemetery to honor ...	0
https://local.theonion.com/ex-con-back-behind-bar-...	ex-con back behind bar	1
https://www.theonion.com/after-careful-considerati...	after careful consideration, bush recommends oil d...	1
https://www.huffingtonpost.com/entry/remembrance-i...	remembrance is the beginning of the task	0
https://www.huffingtonpost.com/entry/nemtsov-killi...	allies: islamist motive for killing nemtsov is non...	0
